,Acc,Auc,Mcc,Sen,Sp
backward_5_Micheletti_potentials,0.7038216560509554,0.7780031644285772,0.41066160187147627,0.643312101910828,0.7643312101910829
forward_5_Micheletti_potentials,0.7038216560509554,0.7780031644285772,0.41066160187147627,0.643312101910828,0.7643312101910829
backward_3_Acthely_factors,0.7006369426751592,0.7464400178506229,0.4033740369689797,0.6496815286624203,0.7515923566878981
forward_3_Acthely_factors,0.7006369426751592,0.7464400178506229,0.4033740369689797,0.6496815286624203,0.7515923566878981
forward_5_Hydrophobicity_matrix,0.697452229299363,0.7732159519655969,0.39626524423780807,0.6560509554140127,0.7388535031847133
backward_5_Hydrophobicity_matrix,0.697452229299363,0.7732159519655969,0.39626524423780807,0.6560509554140127,0.7388535031847133
feature-CC.csv,0.6878980891719745,0.7380015416446915,0.3760709055031417,0.6687898089171974,0.7070063694267515
forward_3_AESNN3,0.6847133757961783,0.7603959592681244,0.37112447643105323,0.6369426751592356,0.732484076433121
backward_3_AESNN3,0.6847133757961783,0.7603959592681244,0.37112447643105323,0.6369426751592356,0.732484076433121
backward_5_One_hot_6_bit,0.6815286624203821,0.7275548703801371,0.3635295755340691,0.6560509554140127,0.7070063694267515
forward_5_One_hot_6_bit,0.6815286624203821,0.7275548703801371,0.3635295755340691,0.6560509554140127,0.7070063694267515
ACC.csv,0.6751592356687898,0.7463994482534788,0.3510312548354624,0.643312101910828,0.7070063694267515
forward_3_PAM250,0.6719745222929936,0.7460748914763277,0.3459832849973203,0.6178343949044586,0.7261146496815286
forward_3_Micheletti_potentials,0.6719745222929936,0.7057892815124346,0.34915090507551344,0.5859872611464968,0.7579617834394905
backward_5_AESNN3,0.6719745222929936,0.7455474867134569,0.3464957265790581,0.6114649681528662,0.732484076433121
backward_3_ANN4D,0.6719745222929936,0.7041664976266786,0.347067785292116,0.6050955414012739,0.7388535031847133
forward_3_ANN4D,0.6719745222929936,0.7041664976266786,0.347067785292116,0.6050955414012739,0.7388535031847133
backward_3_Micheletti_potentials,0.6719745222929936,0.7057892815124346,0.34915090507551344,0.5859872611464968,0.7579617834394905
forward_5_AESNN3,0.6719745222929936,0.7455474867134569,0.3464957265790581,0.6114649681528662,0.732484076433121
backward_3_PAM250,0.6719745222929936,0.7460748914763277,0.3459832849973203,0.6178343949044586,0.7261146496815286
forward_3_ProtVec,0.6687898089171974,0.7456286259077447,0.34909998137739934,0.5414012738853503,0.7961783439490446
forward_3_Hydrophobicity_matrix,0.6687898089171974,0.7266826240415434,0.3398203987278757,0.6114649681528662,0.7261146496815286
backward_3_Hydrophobicity_matrix,0.6687898089171974,0.7266826240415434,0.3398203987278757,0.6114649681528662,0.7261146496815286
backward_3_ProtVec,0.6687898089171974,0.7456286259077447,0.34909998137739934,0.5414012738853503,0.7961783439490446
backward_5_One_hot,0.6656050955414012,0.7194206661527851,0.3342134228738895,0.5987261146496815,0.732484076433121
